Children's Hospital of Eastern Ontario - Outpatient Mental Health Services,Children's Hospital of Eastern Ontario ,12373545,311 McArthur Avenue,613-738-6990,http://www.cheo.on.ca,,,,
North Eastern Ontario Family and Children's Services -  Residential Programs - F. W. Schumacher (FWS),North Eastern Ontario Family and Children's Services,12369400,25 Paget Street,705-360-7230 ,http://www.neofacs.org/,Josee Belanger,Mental Health Program Manager ,,705-360-2100 ext 5130
North Eastern Ontario Family and Children's Services -  Residential Programs - Pavillion Jeanne Sauve Residence ,North Eastern Ontario Family and Children's Services,12369400,77 Church Avenue,705-335-4404,http://www.neofacs.org/,Linda Desbiens,Senior Residential Shift Supervisor,linda.desbiens@jsfs.org,1-705-335-4404
Children's Hospital of Eastern Ontario - Adolescent Health Clinic - Mental Health Services,Children's Hospital of Eastern Ontario ,12373545,401 chemin Smyth,613-737-7600 ext 2677,http://www.cheo.on.ca/En/adolescents,,,,
Children's Hospital of Eastern Ontario - Adolescent Health Clinic - Sexual Orientation Counselling,Children's Hospital of Eastern Ontario ,12373545,401 chemin Smyth,613-737-7600 ext 2677,http://www.cheo.on.ca/En/adolescents,,,,
Children's Hospital of Eastern Ontario - Adolescent Health Clinic - Substance Abuse Counselling,Children's Hospital of Eastern Ontario ,12373545,401 chemin Smyth,613-737-7600 ext 2677,http://www.cheo.on.ca/En/adolescents,,,,
Children's Hospital of Eastern Ontario - Autism Intervention Program of Eastern Ontario (AIP),Children's Hospital of Eastern Ontario ,12373545,2280 blouevard St-Laurent,613-249-9355,http://www.cheo.on.ca,,,,
Children's Hospital of Eastern Ontario - Community Mental Health Team,Children's Hospital of Eastern Ontario ,12373545,"401, chemin Smyth",613-737-7600,http://www.cheo.on.ca/en/consultation-team,,,,
Children's Hospital of  Eastern Ontario - Eating Disorders Program,Children's Hospital of Eastern Ontario ,12373545,401 chemin Smyth,613-737-7600 ext 2818,http://www.cheo.on.ca/,Eva Schacherl,613-737-7600 ext 3536,,
Children's Hospital of Eastern Ontario - Inpatient Services,Children's Hospital of Eastern Ontario ,12373545,401 chemin Smyth,613-737-7600 ext 2505,http://www.cheo.on.ca/en/cheomentalhealthOLD,Shanika Abraham,Interim Clinical Manager In-patient Psychiatric Units,sabraham@cheo.on.ca,613-737-7600 ext 2506
Children's Hospital of Eastern Ontario - Outpatient Mental Health Services,Children's Hospital of Eastern Ontario ,12373545,311 avenue McArthur,613-738-6990,http://www.cheo.on.ca,,,,
